2023-02-13-20-09: epoch: 1 |loss 6.287621 | hm_loss 1.000182 | wh_loss 1.361721 | off_loss 0.223256 | id_loss 11.013159 | time 107.700000 | 
2023-02-13-21-57: epoch: 2 |loss 2.288872 | hm_loss 0.937767 | wh_loss 1.244838 | off_loss 0.220272 | id_loss 10.067024 | time 107.383333 | 
2023-02-13-23-45: epoch: 3 |loss 2.230723 | hm_loss 0.890098 | wh_loss 1.189473 | off_loss 0.218659 | id_loss 9.555485 | time 108.033333 | 
2023-02-14-01-32: epoch: 4 |loss 2.181637 | hm_loss 0.826225 | wh_loss 1.089861 | off_loss 0.216304 | id_loss 9.227820 | time 107.466667 | 
2023-02-14-03-20: epoch: 5 |loss 2.156867 | hm_loss 0.804071 | wh_loss 1.068057 | off_loss 0.215102 | id_loss 8.982703 | time 107.250000 | 
2023-02-14-05-07: epoch: 6 |loss 2.133478 | hm_loss 0.775584 | wh_loss 1.033053 | off_loss 0.213927 | id_loss 8.832591 | time 106.983333 | 
2023-02-14-06-54: epoch: 7 |loss 2.113328 | hm_loss 0.754702 | wh_loss 1.014912 | off_loss 0.212945 | id_loss 8.671806 | time 107.250000 | 
2023-02-14-08-42: epoch: 8 |loss 2.096087 | hm_loss 0.739263 | wh_loss 0.995101 | off_loss 0.212095 | id_loss 8.525232 | time 107.433333 | 
2023-02-14-10-27: epoch: 9 |loss 2.090390 | hm_loss 0.740379 | wh_loss 0.995288 | off_loss 0.211916 | id_loss 8.426296 | time 105.616667 | 
2023-02-14-12-02: epoch: 10 |loss 2.075969 | hm_loss 0.727041 | wh_loss 0.991378 | off_loss 0.211315 | id_loss 8.294667 | time 95.150000 | 
2023-02-14-13-38: epoch: 11 |loss 2.083159 | hm_loss 0.745408 | wh_loss 1.007178 | off_loss 0.211824 | id_loss 8.257218 | time 95.383333 | 
2023-02-14-15-13: epoch: 12 |loss 2.062739 | hm_loss 0.719590 | wh_loss 0.972175 | off_loss 0.211016 | id_loss 8.160383 | time 95.550000 | 
2023-02-14-16-49: epoch: 13 |loss 2.061025 | hm_loss 0.721127 | wh_loss 0.975056 | off_loss 0.211141 | id_loss 8.116258 | time 95.100000 | 
2023-02-14-18-24: epoch: 14 |loss 2.041683 | hm_loss 0.700966 | wh_loss 0.952334 | off_loss 0.209831 | id_loss 7.991214 | time 95.216667 | 
2023-02-14-19-59: epoch: 15 |loss 2.030848 | hm_loss 0.691438 | wh_loss 0.943207 | off_loss 0.209412 | id_loss 7.908325 | time 95.016667 | 
2023-02-14-21-34: epoch: 16 |loss 2.029479 | hm_loss 0.695699 | wh_loss 0.948520 | off_loss 0.209305 | id_loss 7.850056 | time 95.100000 | 
2023-02-14-23-09: epoch: 17 |loss 2.016776 | hm_loss 0.677918 | wh_loss 0.930151 | off_loss 0.208428 | id_loss 7.817613 | time 95.316667 | 
2023-02-15-00-45: epoch: 18 |loss 2.007176 | hm_loss 0.669300 | wh_loss 0.916136 | off_loss 0.208194 | id_loss 7.748409 | time 95.100000 | 
2023-02-15-02-20: epoch: 19 |loss 2.000802 | hm_loss 0.665040 | wh_loss 0.909729 | off_loss 0.207970 | id_loss 7.688721 | time 95.283333 | 
2023-02-15-03-55: epoch: 20 |loss 1.997529 | hm_loss 0.660581 | wh_loss 0.907102 | off_loss 0.207202 | id_loss 7.689288 | time 95.233333 | 
2023-02-15-05-31: epoch: 21 |loss 1.919583 | hm_loss 0.615305 | wh_loss 0.831562 | off_loss 0.204124 | id_loss 6.886959 | time 95.250000 | 
2023-02-15-07-06: epoch: 22 |loss 1.907139 | hm_loss 0.596593 | wh_loss 0.811910 | off_loss 0.202815 | id_loss 6.959351 | time 95.183333 | 
2023-02-15-08-41: epoch: 23 |loss 1.905179 | hm_loss 0.591014 | wh_loss 0.797491 | off_loss 0.202428 | id_loss 6.999158 | time 95.283333 | 
2023-02-15-10-16: epoch: 24 |loss 1.906270 | hm_loss 0.587586 | wh_loss 0.797985 | off_loss 0.202122 | id_loss 7.045214 | time 95.300000 | 
2023-02-15-11-52: epoch: 25 |loss 1.901424 | hm_loss 0.582862 | wh_loss 0.786140 | off_loss 0.202058 | id_loss 7.025445 | time 95.483333 | 
2023-02-15-13-27: epoch: 26 |loss 1.901164 | hm_loss 0.580647 | wh_loss 0.790800 | off_loss 0.201553 | id_loss 7.040341 | time 95.250000 | 
2023-02-15-15-03: epoch: 27 |loss 1.898226 | hm_loss 0.577298 | wh_loss 0.785300 | off_loss 0.201458 | id_loss 7.031581 | time 95.616667 | 
2023-02-15-16-39: epoch: 28 |loss 1.896883 | hm_loss 0.574051 | wh_loss 0.783212 | off_loss 0.201200 | id_loss 7.043350 | time 95.533333 | 
2023-02-15-18-14: epoch: 29 |loss 1.894497 | hm_loss 0.571576 | wh_loss 0.782109 | off_loss 0.201075 | id_loss 7.032019 | time 95.816667 | 
2023-02-15-19-51: epoch: 30 |loss 1.893403 | hm_loss 0.570027 | wh_loss 0.780618 | off_loss 0.200784 | id_loss 7.033158 | time 96.750000 | 
