2023-02-15-00-25: epoch: 1 |loss 6.656638 | hm_loss 1.238155 | wh_loss 2.000857 | off_loss 0.234702 | id_loss 10.768495 | time 96.500000 | 
2023-02-15-02-02: epoch: 2 |loss 2.306357 | hm_loss 1.032921 | wh_loss 1.546760 | off_loss 0.227243 | id_loss 9.474361 | time 96.433333 | 
2023-02-15-03-38: epoch: 3 |loss 2.235485 | hm_loss 0.952748 | wh_loss 1.390816 | off_loss 0.223866 | id_loss 8.995453 | time 96.433333 | 
2023-02-15-05-14: epoch: 4 |loss 2.197200 | hm_loss 0.899573 | wh_loss 1.303493 | off_loss 0.221675 | id_loss 8.760693 | time 95.550000 | 
2023-02-15-06-50: epoch: 5 |loss 2.169010 | hm_loss 0.862854 | wh_loss 1.238153 | off_loss 0.219774 | id_loss 8.590696 | time 96.416667 | 
2023-02-15-08-27: epoch: 6 |loss 2.146113 | hm_loss 0.837415 | wh_loss 1.204072 | off_loss 0.218375 | id_loss 8.420529 | time 96.616667 | 
2023-02-15-10-03: epoch: 7 |loss 2.128045 | hm_loss 0.812805 | wh_loss 1.172200 | off_loss 0.217341 | id_loss 8.322704 | time 95.983333 | 
2023-02-15-11-39: epoch: 8 |loss 2.111009 | hm_loss 0.792832 | wh_loss 1.141780 | off_loss 0.216415 | id_loss 8.220094 | time 96.133333 | 
2023-02-15-13-15: epoch: 9 |loss 2.095642 | hm_loss 0.777597 | wh_loss 1.121076 | off_loss 0.215168 | id_loss 8.104286 | time 95.600000 | 
2023-02-15-14-51: epoch: 10 |loss 2.086234 | hm_loss 0.764925 | wh_loss 1.110891 | off_loss 0.214426 | id_loss 8.058672 | time 96.533333 | 
2023-02-15-16-28: epoch: 11 |loss 2.072481 | hm_loss 0.751924 | wh_loss 1.083987 | off_loss 0.213590 | id_loss 7.965521 | time 96.533333 | 
2023-02-15-18-04: epoch: 12 |loss 2.064864 | hm_loss 0.743146 | wh_loss 1.078078 | off_loss 0.213226 | id_loss 7.914767 | time 96.266667 | 
2023-02-15-19-41: epoch: 13 |loss 2.055436 | hm_loss 0.731331 | wh_loss 1.058439 | off_loss 0.212729 | id_loss 7.875673 | time 96.916667 | 
2023-02-15-21-17: epoch: 14 |loss 2.048216 | hm_loss 0.722250 | wh_loss 1.041305 | off_loss 0.211990 | id_loss 7.849574 | time 95.566667 | 
2023-02-15-22-53: epoch: 15 |loss 2.038411 | hm_loss 0.715162 | wh_loss 1.034343 | off_loss 0.211615 | id_loss 7.755087 | time 96.116667 | 
2023-02-16-00-28: epoch: 16 |loss 2.033716 | hm_loss 0.708340 | wh_loss 1.029960 | off_loss 0.211083 | id_loss 7.743386 | time 95.200000 | 
2023-02-16-02-04: epoch: 17 |loss 2.027745 | hm_loss 0.700211 | wh_loss 1.022663 | off_loss 0.210577 | id_loss 7.725085 | time 95.816667 | 
2023-02-16-03-39: epoch: 18 |loss 2.024027 | hm_loss 0.695712 | wh_loss 1.010830 | off_loss 0.210813 | id_loss 7.710886 | time 95.416667 | 
2023-02-16-05-16: epoch: 19 |loss 2.017934 | hm_loss 0.689052 | wh_loss 0.992824 | off_loss 0.209998 | id_loss 7.685093 | time 96.450000 | 
2023-02-16-06-53: epoch: 20 |loss 2.013964 | hm_loss 0.684343 | wh_loss 0.999436 | off_loss 0.209999 | id_loss 7.656867 | time 96.966667 | 
2023-02-16-08-29: epoch: 21 |loss 1.930640 | hm_loss 0.630223 | wh_loss 0.912542 | off_loss 0.205912 | id_loss 6.854008 | time 96.333333 | 
2023-02-16-10-05: epoch: 22 |loss 1.923468 | hm_loss 0.615987 | wh_loss 0.895981 | off_loss 0.204888 | id_loss 6.955619 | time 95.550000 | 
2023-02-16-11-41: epoch: 23 |loss 1.926731 | hm_loss 0.611559 | wh_loss 0.881895 | off_loss 0.204542 | id_loss 7.056765 | time 96.516667 | 
2023-02-16-13-18: epoch: 24 |loss 1.924011 | hm_loss 0.605787 | wh_loss 0.882015 | off_loss 0.204198 | id_loss 7.066590 | time 96.116667 | 
2023-02-16-14-53: epoch: 25 |loss 1.922767 | hm_loss 0.603533 | wh_loss 0.874001 | off_loss 0.203774 | id_loss 7.076433 | time 95.766667 | 
2023-02-16-16-30: epoch: 26 |loss 1.925401 | hm_loss 0.601677 | wh_loss 0.871025 | off_loss 0.203963 | id_loss 7.129689 | time 96.116667 | 
2023-02-16-18-07: epoch: 27 |loss 1.921053 | hm_loss 0.597541 | wh_loss 0.870556 | off_loss 0.203572 | id_loss 7.104150 | time 96.900000 | 
2023-02-16-19-43: epoch: 28 |loss 1.921755 | hm_loss 0.595764 | wh_loss 0.873476 | off_loss 0.203334 | id_loss 7.128166 | time 96.366667 | 
2023-02-16-21-20: epoch: 29 |loss 1.919855 | hm_loss 0.593061 | wh_loss 0.865247 | off_loss 0.203362 | id_loss 7.129060 | time 96.683333 | 
2023-02-16-22-56: epoch: 30 |loss 1.918422 | hm_loss 0.589891 | wh_loss 0.860108 | off_loss 0.203029 | id_loss 7.141203 | time 95.800000 | 
