2023-02-10-05-24: epoch: 1 |loss 11.378167 | hm_loss 1.101319 | wh_loss 1.767996 | off_loss 0.234718 | id_loss 11.091224 | time 38.200000 | 
2023-02-10-06-03: epoch: 2 |loss 4.224254 | hm_loss 0.958281 | wh_loss 1.255744 | off_loss 0.229916 | id_loss 10.466495 | time 38.950000 | 
2023-02-10-06-41: epoch: 3 |loss 2.589430 | hm_loss 0.920063 | wh_loss 1.150521 | off_loss 0.228718 | id_loss 9.931505 | time 37.866667 | 
2023-02-10-07-22: epoch: 4 |loss 2.252958 | hm_loss 0.897786 | wh_loss 1.116316 | off_loss 0.227802 | id_loss 9.487947 | time 40.666667 | 
2023-02-10-08-00: epoch: 5 |loss 2.200790 | hm_loss 0.878430 | wh_loss 1.089963 | off_loss 0.226960 | id_loss 9.092496 | time 38.516667 | 
2023-02-10-08-38: epoch: 6 |loss 2.173625 | hm_loss 0.860053 | wh_loss 1.069840 | off_loss 0.225846 | id_loss 8.765602 | time 37.883333 | 
2023-02-10-09-16: epoch: 7 |loss 2.141304 | hm_loss 0.839176 | wh_loss 1.043388 | off_loss 0.224892 | id_loss 8.388751 | time 37.666667 | 
2023-02-10-09-56: epoch: 8 |loss 2.111778 | hm_loss 0.823156 | wh_loss 1.028690 | off_loss 0.224203 | id_loss 8.032908 | time 39.783333 | 
2023-02-10-10-36: epoch: 9 |loss 2.085075 | hm_loss 0.811112 | wh_loss 1.016627 | off_loss 0.223498 | id_loss 7.708544 | time 40.033333 | 
2023-02-10-11-15: epoch: 10 |loss 2.057642 | hm_loss 0.798264 | wh_loss 0.998707 | off_loss 0.223091 | id_loss 7.393704 | time 39.300000 | 
2023-02-10-11-54: epoch: 11 |loss 2.034532 | hm_loss 0.789678 | wh_loss 0.994446 | off_loss 0.222494 | id_loss 7.123632 | time 39.150000 | 
2023-02-10-12-33: epoch: 12 |loss 2.010406 | hm_loss 0.778614 | wh_loss 0.985626 | off_loss 0.222106 | id_loss 6.861236 | time 38.766667 | 
2023-02-10-13-14: epoch: 13 |loss 1.985783 | hm_loss 0.768136 | wh_loss 0.980965 | off_loss 0.221650 | id_loss 6.602874 | time 40.283333 | 
2023-02-10-13-54: epoch: 14 |loss 1.964114 | hm_loss 0.761059 | wh_loss 0.968470 | off_loss 0.221533 | id_loss 6.370513 | time 40.116667 | 
2023-02-10-14-32: epoch: 15 |loss 1.944622 | hm_loss 0.755973 | wh_loss 0.969310 | off_loss 0.220813 | id_loss 6.162379 | time 37.766667 | 
2023-02-10-15-11: epoch: 16 |loss 1.922638 | hm_loss 0.750108 | wh_loss 0.954633 | off_loss 0.220650 | id_loss 5.935935 | time 39.300000 | 
2023-02-10-15-51: epoch: 17 |loss 1.902792 | hm_loss 0.742363 | wh_loss 0.947751 | off_loss 0.220191 | id_loss 5.755055 | time 40.266667 | 
2023-02-10-16-32: epoch: 18 |loss 1.883312 | hm_loss 0.737265 | wh_loss 0.949459 | off_loss 0.219876 | id_loss 5.561402 | time 40.816667 | 
2023-02-10-17-11: epoch: 19 |loss 1.864637 | hm_loss 0.733083 | wh_loss 0.944013 | off_loss 0.219649 | id_loss 5.384400 | time 39.316667 | 
2023-02-10-17-53: epoch: 20 |loss 1.844298 | hm_loss 0.725820 | wh_loss 0.932515 | off_loss 0.218981 | id_loss 5.216564 | time 41.333333 | 
