2023-02-09-16-07: epoch: 1 |loss 3.768518 | hm_loss 1.318364 | wh_loss 2.107890 | off_loss 0.237798 | id_loss 11.584103 | time 35.100000 | 
2023-02-09-16-30: epoch: 2 |loss 3.231183 | hm_loss 1.136818 | wh_loss 1.577023 | off_loss 0.229436 | id_loss 10.764177 | time 23.383333 | 
2023-02-09-17-01: epoch: 3 |loss 3.048948 | hm_loss 1.079127 | wh_loss 1.448652 | off_loss 0.227350 | id_loss 10.181458 | time 31.133333 | 
2023-02-09-17-29: epoch: 4 |loss 2.932374 | hm_loss 1.048756 | wh_loss 1.375938 | off_loss 0.226360 | id_loss 9.692889 | time 28.183333 | 
2023-02-09-17-58: epoch: 5 |loss 2.802252 | hm_loss 1.000401 | wh_loss 1.312032 | off_loss 0.224861 | id_loss 9.209736 | time 28.500000 | 
2023-02-09-18-26: epoch: 6 |loss 2.705891 | hm_loss 0.973567 | wh_loss 1.257823 | off_loss 0.223714 | id_loss 8.796981 | time 28.333333 | 
2023-02-09-18-53: epoch: 7 |loss 2.638554 | hm_loss 0.953106 | wh_loss 1.232161 | off_loss 0.223016 | id_loss 8.463518 | time 26.416667 | 
2023-02-09-19-19: epoch: 8 |loss 2.575807 | hm_loss 0.939535 | wh_loss 1.195489 | off_loss 0.222542 | id_loss 8.159849 | time 25.800000 | 
2023-02-09-19-43: epoch: 9 |loss 2.508828 | hm_loss 0.915767 | wh_loss 1.169761 | off_loss 0.221509 | id_loss 7.866714 | time 24.666667 | 
2023-02-09-20-08: epoch: 10 |loss 2.448852 | hm_loss 0.895639 | wh_loss 1.147483 | off_loss 0.220800 | id_loss 7.586709 | time 24.866667 | 
2023-02-09-20-34: epoch: 11 |loss 2.404463 | hm_loss 0.885808 | wh_loss 1.130392 | off_loss 0.220242 | id_loss 7.332164 | time 25.866667 | 
2023-02-09-20-59: epoch: 12 |loss 2.360557 | hm_loss 0.872218 | wh_loss 1.114071 | off_loss 0.219537 | id_loss 7.117669 | time 25.100000 | 
2023-02-09-21-25: epoch: 13 |loss 2.318060 | hm_loss 0.861289 | wh_loss 1.096614 | off_loss 0.218931 | id_loss 6.895337 | time 25.950000 | 
2023-02-09-21-51: epoch: 14 |loss 2.278775 | hm_loss 0.853303 | wh_loss 1.075404 | off_loss 0.218617 | id_loss 6.691532 | time 25.650000 | 
2023-02-09-22-16: epoch: 15 |loss 2.241192 | hm_loss 0.840198 | wh_loss 1.064852 | off_loss 0.218053 | id_loss 6.505138 | time 24.916667 | 
2023-02-09-22-42: epoch: 16 |loss 2.223522 | hm_loss 0.836547 | wh_loss 1.067949 | off_loss 0.218365 | id_loss 6.346346 | time 26.083333 | 
2023-02-09-23-07: epoch: 17 |loss 2.179504 | hm_loss 0.825268 | wh_loss 1.043841 | off_loss 0.217223 | id_loss 6.150916 | time 25.200000 | 
2023-02-09-23-32: epoch: 18 |loss 2.150320 | hm_loss 0.819361 | wh_loss 1.029140 | off_loss 0.216796 | id_loss 5.995936 | time 24.850000 | 
2023-02-09-23-58: epoch: 19 |loss 2.121029 | hm_loss 0.811345 | wh_loss 1.015346 | off_loss 0.216508 | id_loss 5.855030 | time 25.316667 | 
2023-02-10-00-23: epoch: 20 |loss 2.109052 | hm_loss 0.808752 | wh_loss 1.022423 | off_loss 0.216747 | id_loss 5.723418 | time 25.583333 | 
2023-02-10-00-50: epoch: 21 |loss 1.926277 | hm_loss 0.758263 | wh_loss 0.926946 | off_loss 0.213574 | id_loss 4.909673 | time 26.700000 | 
2023-02-10-01-15: epoch: 22 |loss 1.897380 | hm_loss 0.744546 | wh_loss 0.906618 | off_loss 0.213079 | id_loss 4.864463 | time 24.983333 | 
2023-02-10-01-41: epoch: 23 |loss 1.887891 | hm_loss 0.738992 | wh_loss 0.901709 | off_loss 0.212503 | id_loss 4.855420 | time 25.416667 | 
2023-02-10-02-06: epoch: 24 |loss 1.880306 | hm_loss 0.735710 | wh_loss 0.894909 | off_loss 0.212470 | id_loss 4.846710 | time 25.400000 | 
2023-02-10-02-31: epoch: 25 |loss 1.872517 | hm_loss 0.731607 | wh_loss 0.886259 | off_loss 0.212240 | id_loss 4.855407 | time 25.200000 | 
2023-02-10-02-58: epoch: 26 |loss 1.871404 | hm_loss 0.730148 | wh_loss 0.889049 | off_loss 0.212218 | id_loss 4.845136 | time 26.283333 | 
2023-02-10-03-23: epoch: 27 |loss 1.867575 | hm_loss 0.728627 | wh_loss 0.886963 | off_loss 0.212025 | id_loss 4.834409 | time 25.650000 | 
2023-02-10-03-50: epoch: 28 |loss 1.859972 | hm_loss 0.725260 | wh_loss 0.879450 | off_loss 0.212009 | id_loss 4.829792 | time 26.300000 | 
2023-02-10-04-15: epoch: 29 |loss 1.855691 | hm_loss 0.722873 | wh_loss 0.879618 | off_loss 0.211826 | id_loss 4.811829 | time 25.316667 | 
2023-02-10-04-41: epoch: 30 |loss 1.851645 | hm_loss 0.721538 | wh_loss 0.873812 | off_loss 0.211764 | id_loss 4.814380 | time 26.066667 | 
