2023-02-19-09-15: epoch: 1 |loss 12.193291 | hm_loss 0.622244 | wh_loss 0.532235 | off_loss 0.207832 | id_loss 9.002757 | time 33.900000 | 
2023-02-19-09-49: epoch: 2 |loss 6.592124 | hm_loss 0.514065 | wh_loss 0.475720 | off_loss 0.201612 | id_loss 6.792771 | time 33.866667 | 
2023-02-19-10-23: epoch: 3 |loss 4.274727 | hm_loss 0.478794 | wh_loss 0.461011 | off_loss 0.198960 | id_loss 5.928787 | time 34.016667 | 
2023-02-19-10-57: epoch: 4 |loss 3.038475 | hm_loss 0.456513 | wh_loss 0.450739 | off_loss 0.197247 | id_loss 5.442826 | time 34.066667 | 
2023-02-19-11-31: epoch: 5 |loss 2.349051 | hm_loss 0.437886 | wh_loss 0.443271 | off_loss 0.195840 | id_loss 5.124239 | time 34.083333 | 
2023-02-19-12-06: epoch: 6 |loss 1.962457 | hm_loss 0.424851 | wh_loss 0.439089 | off_loss 0.194641 | id_loss 4.915228 | time 34.416667 | 
2023-02-19-12-40: epoch: 7 |loss 1.725684 | hm_loss 0.408717 | wh_loss 0.429533 | off_loss 0.193504 | id_loss 4.714399 | time 34.500000 | 
2023-02-19-13-15: epoch: 8 |loss 1.594066 | hm_loss 0.395416 | wh_loss 0.422488 | off_loss 0.192131 | id_loss 4.558797 | time 34.083333 | 
2023-02-19-13-49: epoch: 9 |loss 1.526843 | hm_loss 0.383932 | wh_loss 0.418570 | off_loss 0.191252 | id_loss 4.447215 | time 34.383333 | 
2023-02-19-14-23: epoch: 10 |loss 1.485098 | hm_loss 0.373816 | wh_loss 0.414581 | off_loss 0.190159 | id_loss 4.313627 | time 33.800000 | 
2023-02-19-14-57: epoch: 11 |loss 1.461755 | hm_loss 0.365573 | wh_loss 0.411398 | off_loss 0.189307 | id_loss 4.217484 | time 33.866667 | 
2023-02-19-15-31: epoch: 12 |loss 1.439576 | hm_loss 0.356920 | wh_loss 0.406776 | off_loss 0.188306 | id_loss 4.111071 | time 34.233333 | 
2023-02-19-16-05: epoch: 13 |loss 1.425744 | hm_loss 0.349601 | wh_loss 0.404803 | off_loss 0.187920 | id_loss 4.053664 | time 34.116667 | 
2023-02-19-16-39: epoch: 14 |loss 1.409704 | hm_loss 0.342477 | wh_loss 0.403578 | off_loss 0.187376 | id_loss 3.978822 | time 33.850000 | 
2023-02-19-17-13: epoch: 15 |loss 1.396063 | hm_loss 0.336829 | wh_loss 0.400598 | off_loss 0.186344 | id_loss 3.919360 | time 34.083333 | 
2023-02-19-17-47: epoch: 16 |loss 1.367647 | hm_loss 0.329313 | wh_loss 0.394976 | off_loss 0.185409 | id_loss 3.758134 | time 33.983333 | 
2023-02-19-18-21: epoch: 17 |loss 1.367625 | hm_loss 0.327007 | wh_loss 0.393636 | off_loss 0.185281 | id_loss 3.777076 | time 34.116667 | 
2023-02-19-18-56: epoch: 18 |loss 1.363063 | hm_loss 0.326652 | wh_loss 0.391392 | off_loss 0.185051 | id_loss 3.747527 | time 34.233333 | 
2023-02-19-19-30: epoch: 19 |loss 1.360264 | hm_loss 0.325944 | wh_loss 0.391279 | off_loss 0.184768 | id_loss 3.733381 | time 34.200000 | 
2023-02-19-20-04: epoch: 20 |loss 1.362148 | hm_loss 0.324970 | wh_loss 0.393075 | off_loss 0.185141 | id_loss 3.751808 | time 34.083333 | 
