2023-02-18-19-12: epoch: 1 |loss 14.150060 | hm_loss 0.721094 | wh_loss 0.576433 | off_loss 0.218989 | id_loss 9.532777 | time 10.816667 | 
2023-02-18-19-22: epoch: 2 |loss 9.626959 | hm_loss 0.616569 | wh_loss 0.519169 | off_loss 0.213343 | id_loss 7.724543 | time 10.716667 | 
2023-02-18-19-33: epoch: 3 |loss 7.207749 | hm_loss 0.585245 | wh_loss 0.506775 | off_loss 0.211689 | id_loss 6.768473 | time 10.716667 | 
2023-02-18-19-44: epoch: 4 |loss 5.632499 | hm_loss 0.565598 | wh_loss 0.499989 | off_loss 0.210727 | id_loss 6.174212 | time 10.716667 | 
2023-02-18-19-55: epoch: 5 |loss 4.517842 | hm_loss 0.551405 | wh_loss 0.495386 | off_loss 0.209967 | id_loss 5.748033 | time 10.716667 | 
2023-02-18-20-06: epoch: 6 |loss 3.696758 | hm_loss 0.539650 | wh_loss 0.491037 | off_loss 0.209359 | id_loss 5.410973 | time 10.733333 | 
2023-02-18-20-16: epoch: 7 |loss 3.079623 | hm_loss 0.529562 | wh_loss 0.486501 | off_loss 0.208506 | id_loss 5.122328 | time 10.733333 | 
2023-02-18-20-27: epoch: 8 |loss 2.643318 | hm_loss 0.518844 | wh_loss 0.484130 | off_loss 0.208068 | id_loss 4.933845 | time 10.733333 | 
2023-02-18-20-38: epoch: 9 |loss 2.309822 | hm_loss 0.510041 | wh_loss 0.477928 | off_loss 0.207266 | id_loss 4.744401 | time 10.733333 | 
2023-02-18-20-49: epoch: 10 |loss 2.057595 | hm_loss 0.501099 | wh_loss 0.474832 | off_loss 0.206567 | id_loss 4.555381 | time 10.716667 | 
2023-02-18-20-59: epoch: 11 |loss 1.877335 | hm_loss 0.491269 | wh_loss 0.471746 | off_loss 0.206092 | id_loss 4.400732 | time 10.733333 | 
2023-02-18-21-10: epoch: 12 |loss 1.754859 | hm_loss 0.482834 | wh_loss 0.464557 | off_loss 0.205344 | id_loss 4.298600 | time 10.733333 | 
2023-02-18-21-21: epoch: 13 |loss 1.648417 | hm_loss 0.472383 | wh_loss 0.460035 | off_loss 0.204664 | id_loss 4.134270 | time 10.733333 | 
2023-02-18-21-32: epoch: 14 |loss 1.584410 | hm_loss 0.463396 | wh_loss 0.455825 | off_loss 0.204002 | id_loss 4.047952 | time 10.733333 | 
2023-02-18-21-43: epoch: 15 |loss 1.535268 | hm_loss 0.454678 | wh_loss 0.450553 | off_loss 0.203047 | id_loss 3.945400 | time 10.733333 | 
2023-02-18-21-54: epoch: 16 |loss 1.492719 | hm_loss 0.445696 | wh_loss 0.442992 | off_loss 0.202080 | id_loss 3.781935 | time 10.716667 | 
2023-02-18-22-04: epoch: 17 |loss 1.491616 | hm_loss 0.444011 | wh_loss 0.444018 | off_loss 0.201933 | id_loss 3.788610 | time 10.733333 | 
2023-02-18-22-15: epoch: 18 |loss 1.491862 | hm_loss 0.442601 | wh_loss 0.443950 | off_loss 0.201701 | id_loss 3.803106 | time 10.733333 | 
2023-02-18-22-26: epoch: 19 |loss 1.484656 | hm_loss 0.441709 | wh_loss 0.442649 | off_loss 0.201802 | id_loss 3.767168 | time 10.716667 | 
2023-02-18-22-37: epoch: 20 |loss 1.483110 | hm_loss 0.440768 | wh_loss 0.443983 | off_loss 0.201731 | id_loss 3.766068 | time 10.716667 | 
