2023-02-19-11-37: epoch: 1 |loss 2.103533 | hm_loss 0.689122 | wh_loss 0.528391 | off_loss 0.212305 | id_loss 9.379101 | time 8.950000 | 
2023-02-19-11-45: epoch: 2 |loss 1.761442 | hm_loss 0.567004 | wh_loss 0.453504 | off_loss 0.206955 | id_loss 7.607305 | time 8.866667 | 
2023-02-19-11-54: epoch: 3 |loss 1.617781 | hm_loss 0.515888 | wh_loss 0.432162 | off_loss 0.203290 | id_loss 6.825227 | time 8.850000 | 
2023-02-19-12-03: epoch: 4 |loss 1.534339 | hm_loss 0.486951 | wh_loss 0.421644 | off_loss 0.201245 | id_loss 6.353215 | time 8.850000 | 
2023-02-19-12-12: epoch: 5 |loss 1.476391 | hm_loss 0.467348 | wh_loss 0.413374 | off_loss 0.200059 | id_loss 6.022971 | time 8.866667 | 
2023-02-19-12-21: epoch: 6 |loss 1.425887 | hm_loss 0.451188 | wh_loss 0.402565 | off_loss 0.198521 | id_loss 5.748951 | time 8.866667 | 
2023-02-19-12-30: epoch: 7 |loss 1.387333 | hm_loss 0.439974 | wh_loss 0.398034 | off_loss 0.197530 | id_loss 5.508133 | time 8.850000 | 
2023-02-19-12-39: epoch: 8 |loss 1.354695 | hm_loss 0.429178 | wh_loss 0.392200 | off_loss 0.196763 | id_loss 5.326544 | time 8.850000 | 
2023-02-19-12-48: epoch: 9 |loss 1.327039 | hm_loss 0.420638 | wh_loss 0.388367 | off_loss 0.195778 | id_loss 5.164393 | time 8.850000 | 
2023-02-19-12-57: epoch: 10 |loss 1.299084 | hm_loss 0.411800 | wh_loss 0.382774 | off_loss 0.194945 | id_loss 5.009511 | time 8.866667 | 
2023-02-19-13-06: epoch: 11 |loss 1.275950 | hm_loss 0.403909 | wh_loss 0.380205 | off_loss 0.194356 | id_loss 4.875817 | time 8.866667 | 
2023-02-19-13-15: epoch: 12 |loss 1.256969 | hm_loss 0.398122 | wh_loss 0.375736 | off_loss 0.193710 | id_loss 4.772698 | time 8.866667 | 
2023-02-19-13-23: epoch: 13 |loss 1.233960 | hm_loss 0.390663 | wh_loss 0.371826 | off_loss 0.193046 | id_loss 4.643379 | time 8.866667 | 
2023-02-19-13-32: epoch: 14 |loss 1.218022 | hm_loss 0.385457 | wh_loss 0.370870 | off_loss 0.192594 | id_loss 4.545365 | time 8.850000 | 
2023-02-19-13-41: epoch: 15 |loss 1.199112 | hm_loss 0.379154 | wh_loss 0.366341 | off_loss 0.191998 | id_loss 4.447898 | time 8.850000 | 
2023-02-19-13-50: epoch: 16 |loss 1.169666 | hm_loss 0.371240 | wh_loss 0.356454 | off_loss 0.190673 | id_loss 4.295257 | time 8.850000 | 
2023-02-19-13-59: epoch: 17 |loss 1.161344 | hm_loss 0.367741 | wh_loss 0.354839 | off_loss 0.190677 | id_loss 4.255064 | time 8.866667 | 
2023-02-19-14-08: epoch: 18 |loss 1.163675 | hm_loss 0.367824 | wh_loss 0.356139 | off_loss 0.190583 | id_loss 4.271977 | time 8.866667 | 
2023-02-19-14-17: epoch: 19 |loss 1.160289 | hm_loss 0.366290 | wh_loss 0.353594 | off_loss 0.190318 | id_loss 4.268834 | time 8.850000 | 
2023-02-19-14-26: epoch: 20 |loss 1.158359 | hm_loss 0.365800 | wh_loss 0.354242 | off_loss 0.190405 | id_loss 4.250333 | time 8.866667 | 
