2023-01-14-17-23: epoch: 1 |loss 13.542043 | hm_loss 0.696267 | wh_loss 0.875666 | off_loss 0.213585 | id_loss 9.441787 | time 31.683333 | 
2023-01-14-17-54: epoch: 2 |loss 8.225599 | hm_loss 0.538578 | wh_loss 0.494167 | off_loss 0.204906 | id_loss 7.568919 | time 31.500000 | 
2023-01-14-18-26: epoch: 3 |loss 5.466322 | hm_loss 0.494164 | wh_loss 0.471980 | off_loss 0.201623 | id_loss 6.351246 | time 31.466667 | 
2023-01-14-18-57: epoch: 4 |loss 3.951818 | hm_loss 0.465821 | wh_loss 0.458240 | off_loss 0.198941 | id_loss 5.716539 | time 31.466667 | 
2023-01-14-19-29: epoch: 5 |loss 2.996946 | hm_loss 0.441724 | wh_loss 0.445246 | off_loss 0.196967 | id_loss 5.262398 | time 31.483333 | 
2023-01-14-20-00: epoch: 6 |loss 2.428155 | hm_loss 0.422939 | wh_loss 0.437270 | off_loss 0.195494 | id_loss 5.009736 | time 31.450000 | 
2023-01-14-20-32: epoch: 7 |loss 2.055366 | hm_loss 0.405919 | wh_loss 0.428841 | off_loss 0.193980 | id_loss 4.795479 | time 31.450000 | 
2023-01-14-21-03: epoch: 8 |loss 1.813972 | hm_loss 0.390540 | wh_loss 0.421425 | off_loss 0.192244 | id_loss 4.633946 | time 31.450000 | 
2023-01-14-21-35: epoch: 9 |loss 1.654393 | hm_loss 0.375990 | wh_loss 0.413925 | off_loss 0.190906 | id_loss 4.500882 | time 31.466667 | 
2023-01-14-22-06: epoch: 10 |loss 1.548091 | hm_loss 0.363252 | wh_loss 0.408237 | off_loss 0.189707 | id_loss 4.368308 | time 31.433333 | 
2023-01-14-22-38: epoch: 11 |loss 1.485716 | hm_loss 0.351724 | wh_loss 0.402648 | off_loss 0.188292 | id_loss 4.279925 | time 31.433333 | 
2023-01-14-23-09: epoch: 12 |loss 1.439785 | hm_loss 0.340076 | wh_loss 0.397513 | off_loss 0.186920 | id_loss 4.164311 | time 31.416667 | 
2023-01-14-23-41: epoch: 13 |loss 1.411028 | hm_loss 0.331599 | wh_loss 0.393516 | off_loss 0.185786 | id_loss 4.063984 | time 31.450000 | 
2023-01-15-00-12: epoch: 14 |loss 1.389983 | hm_loss 0.322222 | wh_loss 0.388285 | off_loss 0.184712 | id_loss 3.992331 | time 31.450000 | 
2023-01-15-00-44: epoch: 15 |loss 1.369636 | hm_loss 0.314512 | wh_loss 0.383979 | off_loss 0.183517 | id_loss 3.904070 | time 31.433333 | 
2023-01-15-01-15: epoch: 16 |loss 1.353525 | hm_loss 0.306466 | wh_loss 0.383497 | off_loss 0.182796 | id_loss 3.843515 | time 31.433333 | 
2023-01-15-01-47: epoch: 17 |loss 1.337414 | hm_loss 0.300628 | wh_loss 0.378179 | off_loss 0.181601 | id_loss 3.775235 | time 31.433333 | 
2023-01-15-02-18: epoch: 18 |loss 1.322839 | hm_loss 0.293953 | wh_loss 0.376693 | off_loss 0.180752 | id_loss 3.721382 | time 31.416667 | 
2023-01-15-02-50: epoch: 19 |loss 1.304564 | hm_loss 0.288426 | wh_loss 0.374613 | off_loss 0.180182 | id_loss 3.631483 | time 31.416667 | 
2023-01-15-03-21: epoch: 20 |loss 1.288641 | hm_loss 0.283050 | wh_loss 0.370811 | off_loss 0.178904 | id_loss 3.567129 | time 31.416667 | 
2023-01-15-03-53: epoch: 21 |loss 1.256410 | hm_loss 0.272647 | wh_loss 0.363804 | off_loss 0.177250 | id_loss 3.426666 | time 31.433333 | 
2023-01-15-04-24: epoch: 22 |loss 1.249164 | hm_loss 0.270217 | wh_loss 0.362858 | off_loss 0.176772 | id_loss 3.397383 | time 31.416667 | 
2023-01-15-04-56: epoch: 23 |loss 1.248452 | hm_loss 0.268813 | wh_loss 0.362152 | off_loss 0.176582 | id_loss 3.405805 | time 31.400000 | 
2023-01-15-05-27: epoch: 24 |loss 1.243104 | hm_loss 0.267833 | wh_loss 0.360068 | off_loss 0.176483 | id_loss 3.377754 | time 31.400000 | 
2023-01-15-05-59: epoch: 25 |loss 1.243024 | hm_loss 0.267241 | wh_loss 0.361604 | off_loss 0.176343 | id_loss 3.382483 | time 31.400000 | 
2023-01-15-06-30: epoch: 26 |loss 1.240936 | hm_loss 0.266161 | wh_loss 0.361261 | off_loss 0.176259 | id_loss 3.377226 | time 31.400000 | 
2023-01-15-07-02: epoch: 27 |loss 1.240113 | hm_loss 0.265689 | wh_loss 0.360197 | off_loss 0.175969 | id_loss 3.378547 | time 31.400000 | 
2023-01-15-07-33: epoch: 28 |loss 1.239742 | hm_loss 0.264263 | wh_loss 0.360726 | off_loss 0.175912 | id_loss 3.387163 | time 31.383333 | 
2023-01-15-08-04: epoch: 29 |loss 1.236904 | hm_loss 0.263573 | wh_loss 0.359580 | off_loss 0.175767 | id_loss 3.374594 | time 31.366667 | 
2023-01-15-08-36: epoch: 30 |loss 1.235568 | hm_loss 0.263366 | wh_loss 0.359105 | off_loss 0.175531 | id_loss 3.369298 | time 31.366667 | 
