2023-02-17-17-54: epoch: 1 |loss 12.916374 | hm_loss 0.647313 | wh_loss 0.522141 | off_loss 0.207674 | id_loss 9.168514 | time 31.550000 | 
2023-02-17-18-26: epoch: 2 |loss 7.807999 | hm_loss 0.552776 | wh_loss 0.466726 | off_loss 0.202367 | id_loss 7.140098 | time 31.400000 | 
2023-02-17-18-57: epoch: 3 |loss 5.395890 | hm_loss 0.517063 | wh_loss 0.458899 | off_loss 0.199901 | id_loss 6.240019 | time 31.300000 | 
2023-02-17-19-28: epoch: 4 |loss 3.985440 | hm_loss 0.495898 | wh_loss 0.451888 | off_loss 0.198124 | id_loss 5.742773 | time 31.300000 | 
2023-02-17-20-00: epoch: 5 |loss 3.043228 | hm_loss 0.477746 | wh_loss 0.444883 | off_loss 0.196932 | id_loss 5.321288 | time 31.316667 | 
2023-02-17-20-31: epoch: 6 |loss 2.461496 | hm_loss 0.463112 | wh_loss 0.440384 | off_loss 0.196138 | id_loss 5.051333 | time 31.250000 | 
2023-02-17-21-02: epoch: 7 |loss 2.080937 | hm_loss 0.449803 | wh_loss 0.434888 | off_loss 0.195331 | id_loss 4.815138 | time 31.233333 | 
2023-02-17-21-34: epoch: 8 |loss 1.836032 | hm_loss 0.436644 | wh_loss 0.429440 | off_loss 0.194233 | id_loss 4.628140 | time 31.216667 | 
2023-02-17-22-05: epoch: 9 |loss 1.678813 | hm_loss 0.424500 | wh_loss 0.424932 | off_loss 0.193428 | id_loss 4.476068 | time 31.283333 | 
2023-02-17-22-36: epoch: 10 |loss 1.575907 | hm_loss 0.412806 | wh_loss 0.420122 | off_loss 0.192621 | id_loss 4.326516 | time 31.266667 | 
2023-02-17-23-08: epoch: 11 |loss 1.517661 | hm_loss 0.402571 | wh_loss 0.415000 | off_loss 0.191636 | id_loss 4.222513 | time 31.233333 | 
2023-02-17-23-39: epoch: 12 |loss 1.476320 | hm_loss 0.392339 | wh_loss 0.410401 | off_loss 0.190722 | id_loss 4.096276 | time 31.250000 | 
2023-02-18-00-10: epoch: 13 |loss 1.456134 | hm_loss 0.389177 | wh_loss 0.408420 | off_loss 0.190340 | id_loss 4.001133 | time 31.200000 | 
2023-02-18-00-41: epoch: 14 |loss 1.436492 | hm_loss 0.380986 | wh_loss 0.403586 | off_loss 0.189720 | id_loss 3.916228 | time 31.266667 | 
2023-02-18-01-13: epoch: 15 |loss 1.420415 | hm_loss 0.376677 | wh_loss 0.400910 | off_loss 0.189126 | id_loss 3.826102 | time 31.233333 | 
2023-02-18-01-44: epoch: 16 |loss 1.399247 | hm_loss 0.371259 | wh_loss 0.398469 | off_loss 0.188872 | id_loss 3.701475 | time 31.233333 | 
2023-02-18-02-15: epoch: 17 |loss 1.396791 | hm_loss 0.369966 | wh_loss 0.396618 | off_loss 0.188357 | id_loss 3.695662 | time 31.300000 | 
2023-02-18-02-47: epoch: 18 |loss 1.396066 | hm_loss 0.368586 | wh_loss 0.396340 | off_loss 0.188348 | id_loss 3.699435 | time 31.233333 | 
2023-02-18-03-18: epoch: 19 |loss 1.391615 | hm_loss 0.368081 | wh_loss 0.396665 | off_loss 0.188459 | id_loss 3.668099 | time 31.266667 | 
2023-02-18-03-49: epoch: 20 |loss 1.388976 | hm_loss 0.366925 | wh_loss 0.395488 | off_loss 0.188076 | id_loss 3.658901 | time 31.266667 | 
