2023-02-18-17-41: epoch: 1 |loss 12.620765 | hm_loss 0.671175 | wh_loss 0.556464 | off_loss 0.214499 | id_loss 9.262800 | time 27.100000 | 
2023-02-18-18-08: epoch: 2 |loss 7.329889 | hm_loss 0.565731 | wh_loss 0.506930 | off_loss 0.208758 | id_loss 7.585156 | time 27.016667 | 
2023-02-18-18-36: epoch: 3 |loss 4.845436 | hm_loss 0.528964 | wh_loss 0.498937 | off_loss 0.206652 | id_loss 6.833824 | time 27.133333 | 
2023-02-18-19-03: epoch: 4 |loss 3.419652 | hm_loss 0.507167 | wh_loss 0.495821 | off_loss 0.205491 | id_loss 6.317490 | time 27.066667 | 
2023-02-18-19-30: epoch: 5 |loss 2.609189 | hm_loss 0.489228 | wh_loss 0.490102 | off_loss 0.204145 | id_loss 5.977498 | time 26.916667 | 
2023-02-18-19-57: epoch: 6 |loss 2.130582 | hm_loss 0.473277 | wh_loss 0.484943 | off_loss 0.202972 | id_loss 5.660231 | time 26.950000 | 
2023-02-18-20-24: epoch: 7 |loss 1.857796 | hm_loss 0.454695 | wh_loss 0.475406 | off_loss 0.201701 | id_loss 5.414609 | time 27.000000 | 
2023-02-18-20-51: epoch: 8 |loss 1.708765 | hm_loss 0.435894 | wh_loss 0.465362 | off_loss 0.200176 | id_loss 5.238637 | time 27.016667 | 
2023-02-18-21-18: epoch: 9 |loss 1.625504 | hm_loss 0.420016 | wh_loss 0.456911 | off_loss 0.198592 | id_loss 5.053507 | time 26.983333 | 
2023-02-18-21-45: epoch: 10 |loss 1.581583 | hm_loss 0.404709 | wh_loss 0.449683 | off_loss 0.197290 | id_loss 4.907608 | time 27.033333 | 
2023-02-18-22-12: epoch: 11 |loss 1.557958 | hm_loss 0.391981 | wh_loss 0.444917 | off_loss 0.196025 | id_loss 4.820434 | time 26.983333 | 
2023-02-18-22-39: epoch: 12 |loss 1.532686 | hm_loss 0.380370 | wh_loss 0.438256 | off_loss 0.194963 | id_loss 4.686756 | time 26.983333 | 
2023-02-18-23-06: epoch: 13 |loss 1.513765 | hm_loss 0.369908 | wh_loss 0.431260 | off_loss 0.193637 | id_loss 4.605279 | time 27.000000 | 
2023-02-18-23-33: epoch: 14 |loss 1.495375 | hm_loss 0.361751 | wh_loss 0.428272 | off_loss 0.192800 | id_loss 4.507207 | time 27.066667 | 
2023-02-19-00-00: epoch: 15 |loss 1.480479 | hm_loss 0.353675 | wh_loss 0.423018 | off_loss 0.191546 | id_loss 4.448425 | time 26.966667 | 
2023-02-19-00-27: epoch: 16 |loss 1.448722 | hm_loss 0.344203 | wh_loss 0.418601 | off_loss 0.190431 | id_loss 4.247803 | time 27.116667 | 
2023-02-19-00-55: epoch: 17 |loss 1.447047 | hm_loss 0.342246 | wh_loss 0.415505 | off_loss 0.190087 | id_loss 4.254220 | time 27.066667 | 
2023-02-19-01-22: epoch: 18 |loss 1.443756 | hm_loss 0.339792 | wh_loss 0.417440 | off_loss 0.189787 | id_loss 4.245697 | time 27.200000 | 
2023-02-19-01-49: epoch: 19 |loss 1.440111 | hm_loss 0.339825 | wh_loss 0.416974 | off_loss 0.189919 | id_loss 4.213285 | time 27.033333 | 
2023-02-19-02-16: epoch: 20 |loss 1.439760 | hm_loss 0.337872 | wh_loss 0.415082 | off_loss 0.189487 | id_loss 4.231102 | time 27.066667 | 
