2023-01-16-16-16: epoch: 1 |loss 2.107559 | hm_loss 0.631200 | wh_loss 0.685374 | off_loss 0.217545 | id_loss 9.161274 | time 8.933333 | 
2023-01-16-16-25: epoch: 2 |loss 1.709323 | hm_loss 0.489487 | wh_loss 0.508711 | off_loss 0.204644 | id_loss 7.608370 | time 8.850000 | 
2023-01-16-16-34: epoch: 3 |loss 1.535423 | hm_loss 0.441161 | wh_loss 0.461460 | off_loss 0.199948 | id_loss 6.635834 | time 8.850000 | 
2023-01-16-16-43: epoch: 4 |loss 1.428151 | hm_loss 0.411262 | wh_loss 0.438640 | off_loss 0.196985 | id_loss 6.005837 | time 8.883333 | 
2023-01-16-16-52: epoch: 5 |loss 1.346512 | hm_loss 0.386213 | wh_loss 0.421972 | off_loss 0.194099 | id_loss 5.552136 | time 8.850000 | 
2023-01-16-17-01: epoch: 6 |loss 1.279745 | hm_loss 0.366115 | wh_loss 0.410856 | off_loss 0.192064 | id_loss 5.161384 | time 8.850000 | 
2023-01-16-17-10: epoch: 7 |loss 1.218974 | hm_loss 0.347702 | wh_loss 0.396464 | off_loss 0.189841 | id_loss 4.831997 | time 8.833333 | 
2023-01-16-17-18: epoch: 8 |loss 1.175646 | hm_loss 0.333285 | wh_loss 0.387461 | off_loss 0.187745 | id_loss 4.608860 | time 8.850000 | 
2023-01-16-17-27: epoch: 9 |loss 1.137530 | hm_loss 0.320229 | wh_loss 0.379324 | off_loss 0.186164 | id_loss 4.414751 | time 8.850000 | 
2023-01-16-17-36: epoch: 10 |loss 1.099755 | hm_loss 0.308803 | wh_loss 0.370777 | off_loss 0.184382 | id_loss 4.211814 | time 8.850000 | 
2023-01-16-17-45: epoch: 11 |loss 1.073287 | hm_loss 0.301190 | wh_loss 0.362655 | off_loss 0.183062 | id_loss 4.077078 | time 8.850000 | 
2023-01-16-17-54: epoch: 12 |loss 1.047202 | hm_loss 0.291592 | wh_loss 0.356466 | off_loss 0.181665 | id_loss 3.957122 | time 8.866667 | 
2023-01-16-18-03: epoch: 13 |loss 1.024195 | hm_loss 0.284345 | wh_loss 0.348477 | off_loss 0.180553 | id_loss 3.850591 | time 8.833333 | 
2023-01-16-18-12: epoch: 14 |loss 1.004057 | hm_loss 0.277783 | wh_loss 0.343200 | off_loss 0.179327 | id_loss 3.753471 | time 8.850000 | 
2023-01-16-18-20: epoch: 15 |loss 0.981172 | hm_loss 0.271045 | wh_loss 0.336112 | off_loss 0.178208 | id_loss 3.638627 | time 8.833333 | 
2023-01-16-18-29: epoch: 16 |loss 0.967191 | hm_loss 0.265388 | wh_loss 0.333610 | off_loss 0.177575 | id_loss 3.574233 | time 8.850000 | 
2023-01-16-18-38: epoch: 17 |loss 0.947909 | hm_loss 0.260500 | wh_loss 0.325907 | off_loss 0.176004 | id_loss 3.484509 | time 8.850000 | 
2023-01-16-18-47: epoch: 18 |loss 0.934022 | hm_loss 0.255685 | wh_loss 0.324269 | off_loss 0.175412 | id_loss 3.407894 | time 8.833333 | 
2023-01-16-18-56: epoch: 19 |loss 0.920220 | hm_loss 0.251666 | wh_loss 0.319031 | off_loss 0.174525 | id_loss 3.345134 | time 8.833333 | 
2023-01-16-19-05: epoch: 20 |loss 0.908075 | hm_loss 0.246675 | wh_loss 0.312445 | off_loss 0.173328 | id_loss 3.318494 | time 8.833333 | 
2023-01-16-19-14: epoch: 21 |loss 0.817514 | hm_loss 0.218501 | wh_loss 0.280308 | off_loss 0.166687 | id_loss 2.921726 | time 8.833333 | 
2023-01-16-19-23: epoch: 22 |loss 0.807273 | hm_loss 0.211486 | wh_loss 0.274692 | off_loss 0.165130 | id_loss 2.933121 | time 8.833333 | 
2023-01-16-19-31: epoch: 23 |loss 0.803679 | hm_loss 0.208821 | wh_loss 0.273338 | off_loss 0.164414 | id_loss 2.937743 | time 8.850000 | 
2023-01-16-19-40: epoch: 24 |loss 0.798108 | hm_loss 0.206085 | wh_loss 0.271484 | off_loss 0.163952 | id_loss 2.923282 | time 8.850000 | 
2023-01-16-19-49: epoch: 25 |loss 0.793561 | hm_loss 0.204950 | wh_loss 0.269717 | off_loss 0.163294 | id_loss 2.904593 | time 8.850000 | 
2023-01-16-19-58: epoch: 26 |loss 0.793087 | hm_loss 0.203271 | wh_loss 0.267312 | off_loss 0.162921 | id_loss 2.932389 | time 8.833333 | 
2023-01-16-20-07: epoch: 27 |loss 0.789270 | hm_loss 0.202588 | wh_loss 0.266613 | off_loss 0.162662 | id_loss 2.907132 | time 8.850000 | 
2023-01-16-20-16: epoch: 28 |loss 0.786214 | hm_loss 0.201098 | wh_loss 0.265491 | off_loss 0.162158 | id_loss 2.902129 | time 8.850000 | 
2023-01-16-20-25: epoch: 29 |loss 0.785389 | hm_loss 0.199720 | wh_loss 0.264537 | off_loss 0.162093 | id_loss 2.913077 | time 8.866667 | 
2023-01-16-20-34: epoch: 30 |loss 0.782241 | hm_loss 0.199038 | wh_loss 0.262721 | off_loss 0.161709 | id_loss 2.901331 | time 8.866667 | 
